,nickname,text,score,like,dislike,time,watch_movie
31,qpal****,처음에뻔한스토리라고생각하고 봤는데 나름잼있었던거같아요 연기자들도연기잘하는듯함,9,0,0,2014-01-22 21:43:00,0
32,뽀뽀친구(rlat****),중간쯤에 갑작스런 소재가 등장해 굉장히 당황스러웠지만 끝마무리가 잘 맺어진거 같아 만족스러운 영화입니다!! 새벽에 혼자보기 좋은영화!  영화출연진들이 모두 훈남훈녀라 보는내내 셀러고 좋앗네용 ㅎㅎ,10,0,0,2014-01-20 02:28:00,0
33,뚱이윤재(moon****),오랜만에 이렇게 감동적인영화 보네요,10,0,0,2014-01-17 22:42:00,0
34,CHILD(ichi****),전형적인 레파토리라 했더만... 한국감독이였구나. 베스트댓글처럼 한국에서 개봉했어도 선방했었을거 같은데 아쉽네.,8,0,0,2014-01-15 21:56:00,0
35,오렌지(0119****),눈물이주르륵..한국배우보단 중국배우가 더잘어울린듯하네요 코믹이 너무재밌네요 펑위옌 매력있어~여주인공도 이뻐*^^*,9,0,0,2014-01-15 04:05:00,0
36,naeun4014(skdm****),왕ㅇ슬픔ㅁㅜㅜㅜ짱짱ㅇ,10,0,0,2014-01-15 03:43:00,0
37,카르티에(allb****),정말 뻔한 이야기인데 왜 이렇게 슬픈거야...? 왜 내눈에서 눈물나게 하는거야..? 사랑하는사람을위해 연인과 5년간 이별하고... 그리고 5년뒤... 사랑하는사람을위해 또 이별하고... 그리고 서로 사랑했지만 어쩔수...,9,0,0,2014-01-14 09:27:00,0
38,슬기(rlat****),스토리적으로 아쉬운게 사실이나. 그래도 눈물을 흘리고 있는나를보면 이영화 괜찮고 감동적인건 확실하다. 특히나  두배우의 연기는 믿고 본것이기 때문에 난 만족한다!,9,0,0,2014-01-14 00:58:00,0
39,은혜(wnsz****),눈물까진아니였고 ㅎㅎ잘봤네요~ 잔잔하니 집중도잘되고연기도좋네요,9,0,0,2014-01-12 15:27:00,0
40,pjhl****,처음에 웃다가 완전 폭풍눈물,9,0,0,2014-01-10 22:34:00,0
41,z6(till****),뻔한 스토리지만 눈물이 펑펑 왜 극장가서 안 봤을까,8,0,0,2014-01-10 05:03:00,0
42,슈퍼맨(youn****),좋다좋다좋다좋다좋다,10,0,0,2014-01-08 19:40:00,0
43,이집션(egyp****),아...유치했지만...조금 감동(?)...이라고 하기엔...너무 빤히 다 보였는 걸...그래도 도시락(?)은 마음 훈훈하니 좋았어...그런데 왜 눈물이 나오는거야...차오차오역 여배우 이정현 외모와 많이 흡사,6,0,0,2014-01-08 12:36:00,0
44,WOLF(boya****),너무 뻔해서 더 슬픈영화....,9,0,0,2014-01-07 19:58:00,0
45,뿡뿡이(hiyu****),내가 봤던 로맨스 영화중 최고였던거 같다. 진짜 감동스럽고 내용도 잘만든거 같다.,10,0,0,2014-01-07 00:45:00,0
46,임지영(dlaw****),스토리가 뻔하다고했는데 좀그렇긴하지만 보고 엄청울었음 우행시처럼 ㅜㅜ 눈도붓고입술도붓고,9,0,0,2014-01-06 15:53:00,0
47,안녕안녕(yuyu****),유치해 유치하고뻔해 근데 폭풍 오열나너무슬퍼,7,0,0,2014-01-05 21:47:00,0
48,좋아지용(dfad****),처음에 재미스러운부분과마지막쯤에 오는 감동이 더욱 잘 조화가 되어진거같다,10,0,0,2014-01-03 06:07:00,0
