형태소,품사,분류,카운트
",,,",Punctuation,패왕별희,14
",,,!!!",Punctuation,말할 수 없는 비밀,1
",,,!!!!!",Punctuation,말할 수 없는 비밀,1
",,,!!!!!!!!!!!...",Punctuation,말할 수 없는 비밀,1
",,,,",Punctuation,5일의마중,3
",,,,",Punctuation,그시절 우리가 좋아했던 소녀,4
",,,,",Punctuation,나의 소녀시대,2
",,,,",Punctuation,말할 수 없는 비밀,43
",,,,",Punctuation,패왕별희,2
",,,,!!!!",Punctuation,그시절 우리가 좋아했던 소녀,1
",,,,,",Punctuation,그시절 우리가 좋아했던 소녀,1
",,,,,",Punctuation,말할 수 없는 비밀,10
",,,,,",Punctuation,청설,1
",,,,,",Punctuation,패왕별희,1
",,,,,,",Punctuation,그시절 우리가 좋아했던 소녀,1
",,,,,,",Punctuation,말할 수 없는 비밀,3
",,,,,,",Punctuation,청설,1
",,,,,,,",Punctuation,말할 수 없는 비밀,3
",,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,,,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,,,,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,,,,,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,,,,,,,,,,,,,",Punctuation,청설,1
",,,,,,,,,,,,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,,,,,,,,,,,,,,,,,,,,",Punctuation,말할 수 없는 비밀,1
",,,,??",Punctuation,말할 수 없는 비밀,1
",,,,^^",Punctuation,말할 수 없는 비밀,1
",,,...",Punctuation,말할 수 없는 비밀,1
",,,??",Punctuation,나의 소녀시대,1
",,,^^",Punctuation,말할 수 없는 비밀,2
",,..",Punctuation,그시절 우리가 좋아했던 소녀,1
",,..",Punctuation,나의 소녀시대,1
",,..",Punctuation,말할 수 없는 비밀,1
",,...",Punctuation,말할 수 없는 비밀,1
",,;",Punctuation,말할 수 없는 비밀,2
",,;;;",Punctuation,말할 수 없는 비밀,1
",,?",Punctuation,그시절 우리가 좋아했던 소녀,1
",,??",Punctuation,말할 수 없는 비밀,1
",,~~",Punctuation,말할 수 없는 비밀,1
",.",Punctuation,5일의마중,1
",.",Punctuation,그시절 우리가 좋아했던 소녀,3
",.",Punctuation,나의 소녀시대,2
",.",Punctuation,말할 수 없는 비밀,21
",.",Punctuation,청설,1
",.",Punctuation,패왕별희,3
",.,",Punctuation,말할 수 없는 비밀,8
",.,",Punctuation,청설,1
",.,,",Punctuation,말할 수 없는 비밀,1
",.,.",Punctuation,말할 수 없는 비밀,1
",.,.",Punctuation,청설,1
",..",Punctuation,5일의마중,1
",..",Punctuation,그시절 우리가 좋아했던 소녀,1
",..",Punctuation,나의 소녀시대,1
",..",Punctuation,말할 수 없는 비밀,17
",..!!",Punctuation,말할 수 없는 비밀,1
",...",Punctuation,그시절 우리가 좋아했던 소녀,4
",...",Punctuation,나의 소녀시대,1
",...",Punctuation,말할 수 없는 비밀,10
",...",Punctuation,시절인연,1
",...",Punctuation,청설,1
",....",Punctuation,말할 수 없는 비밀,2
",....",Punctuation,청설,1
",.....",Punctuation,패왕별희,1
",......",Punctuation,말할 수 없는 비밀,1
",;;",Punctuation,말할 수 없는 비밀,1
",;;;;;;;;;;;;;;;;;;;;",Punctuation,말할 수 없는 비밀,1
",<~>",Punctuation,말할 수 없는 비밀,1
",?",Punctuation,그시절 우리가 좋아했던 소녀,1
",^^",Punctuation,청설,1
",~",Punctuation,말할 수 없는 비밀,2
-,Punctuation,5일의마중,5
-,Punctuation,그시절 우리가 좋아했던 소녀,19
-,Punctuation,나의 소녀시대,15
-,Punctuation,말할 수 없는 비밀,221
-,Punctuation,시절인연,4
-,Punctuation,청설,7
-,Punctuation,패왕별희,7
-!,Punctuation,나의 소녀시대,1
-!,Punctuation,말할 수 없는 비밀,4
-!!,Punctuation,말할 수 없는 비밀,1
-!!!,Punctuation,말할 수 없는 비밀,1
-!!!,Punctuation,청설,1
-!!!!!,Punctuation,말할 수 없는 비밀,1
-!!!!!!,Punctuation,말할 수 없는 비밀,1
-')!,Punctuation,말할 수 없는 비밀,1
-'/,Punctuation,말할 수 없는 비밀,1
"-,",Punctuation,말할 수 없는 비밀,2
"-,-;;;;;;",Punctuation,말할 수 없는 비밀,1
"-,.-",Punctuation,말할 수 없는 비밀,1
--,Punctuation,나의 소녀시대,1
--,Punctuation,말할 수 없는 비밀,20
--!!,Punctuation,말할 수 없는 비밀,1
--;,Punctuation,말할 수 없는 비밀,2
-->,Punctuation,말할 수 없는 비밀,1
--?,Punctuation,말할 수 없는 비밀,1
--^,Punctuation,말할 수 없는 비밀,1
-.,Punctuation,그시절 우리가 좋아했던 소녀,1
-.-,Punctuation,말할 수 없는 비밀,3
"-.-""",Punctuation,말할 수 없는 비밀,1
"-.-.,,'',';-;=\",Punctuation,그시절 우리가 좋아했던 소녀,1
-.-;,Punctuation,말할 수 없는 비밀,1
-..,Punctuation,말할 수 없는 비밀,1
-..-,Punctuation,말할 수 없는 비밀,1
-/,Punctuation,말할 수 없는 비밀,1
-:*&@#~/,Punctuation,5일의마중,1
-;,Punctuation,말할 수 없는 비밀,4
-;;,Punctuation,말할 수 없는 비밀,7
-<,Punctuation,말할 수 없는 비밀,1
->,Punctuation,나의 소녀시대,3
->,Punctuation,말할 수 없는 비밀,14
-?,Punctuation,말할 수 없는 비밀,1
-_,Punctuation,말할 수 없는 비밀,5
-_,Punctuation,패왕별희,1
-_-,Punctuation,5일의마중,1
-_-,Punctuation,말할 수 없는 비밀,55
-_-,Punctuation,청설,1
