형태소,품사,분류,카운트
해보진,Verb,그시절 우리가 좋아했던 소녀,1
해보진말자,Verb,그시절 우리가 좋아했던 소녀,1
해본,Verb,그시절 우리가 좋아했던 소녀,11
해본,Verb,나의 소녀시대,1
해본,Verb,말할 수 없는 비밀,7
해본,Verb,청설,1
해본거,Verb,그시절 우리가 좋아했던 소녀,1
해본것이,Verb,그시절 우리가 좋아했던 소녀,1
해본게,Verb,그시절 우리가 좋아했던 소녀,3
해본게,Verb,나의 소녀시대,1
해본게,Verb,말할 수 없는 비밀,1
해본다,Verb,그시절 우리가 좋아했던 소녀,2
해본다,Verb,말할 수 없는 비밀,2
해볼,Verb,그시절 우리가 좋아했던 소녀,2
해볼,Verb,나의 소녀시대,1
해볼,Verb,시절인연,1
해볼가,Verb,말할 수 없는 비밀,1
해볼것,Verb,말할 수 없는 비밀,1
해볼까,Verb,그시절 우리가 좋아했던 소녀,1
해볼까,Verb,말할 수 없는 비밀,1
해볼려고,Verb,그시절 우리가 좋아했던 소녀,1
해볼만,Verb,그시절 우리가 좋아했던 소녀,1
해볼만,Verb,말할 수 없는 비밀,1
해볼수,Verb,그시절 우리가 좋아했던 소녀,1
해볼수,Verb,말할 수 없는 비밀,1
해볼수있는,Verb,말할 수 없는 비밀,1
해볼수있을까요,Verb,청설,1
해봄,Verb,그시절 우리가 좋아했던 소녀,2
해봄,Verb,말할 수 없는 비밀,2
해봅니다,Verb,그시절 우리가 좋아했던 소녀,2
해봅니다,Verb,말할 수 없는 비밀,2
해봐,Verb,나의 소녀시대,3
해봐,Verb,말할 수 없는 비밀,1
해봐도,Verb,나의 소녀시대,1
해봐도,Verb,말할 수 없는 비밀,1
해봐라,Verb,그시절 우리가 좋아했던 소녀,4
해봐라,Verb,말할 수 없는 비밀,1
해봐서,Verb,그시절 우리가 좋아했던 소녀,1
해봐야,Verb,그시절 우리가 좋아했던 소녀,1
해봐야,Verb,말할 수 없는 비밀,1
해봐야지,Verb,그시절 우리가 좋아했던 소녀,1
해봐요,Verb,말할 수 없는 비밀,1
해봣,Noun,말할 수 없는 비밀,1
해봣던,Noun,말할 수 없는 비밀,1
해봣으,Noun,말할 수 없는 비밀,1
해봤거나,Verb,말할 수 없는 비밀,1
해봤겠어,Verb,말할 수 없는 비밀,1
해봤나,Verb,나의 소녀시대,1
해봤는데,Verb,그시절 우리가 좋아했던 소녀,1
해봤는지,Verb,말할 수 없는 비밀,1
해봤다,Verb,말할 수 없는 비밀,3
해봤다는게,Verb,나의 소녀시대,1
해봤다면,Verb,그시절 우리가 좋아했던 소녀,2
해봤더라면,Verb,말할 수 없는 비밀,1
해봤던,Verb,그시절 우리가 좋아했던 소녀,1
해봤던,Verb,말할 수 없는 비밀,1
해봤으면,Verb,그시절 우리가 좋아했던 소녀,2
해봤으면,Verb,나의 소녀시대,2
해봤으면,Verb,말할 수 없는 비밀,9
해봤으면,Verb,시절인연,1
해봤으면,Verb,청설,2
해봤을,Verb,그시절 우리가 좋아했던 소녀,1
해봤을,Verb,나의 소녀시대,1
해봤을까,Verb,말할 수 없는 비밀,1
해봤지만,Verb,그시절 우리가 좋아했던 소녀,2
해사,Noun,말할 수 없는 비밀,1
해샤,Noun,말할 수 없는 비밀,1
해서,Verb,5일의마중,7
해서,Verb,그시절 우리가 좋아했던 소녀,85
해서,Verb,나의 소녀시대,74
해서,Verb,말할 수 없는 비밀,222
해서,Verb,시절인연,2
해서,Verb,청설,25
해서,Verb,패왕별희,41
해서나마,Verb,나의 소녀시대,1
해서는,Verb,말할 수 없는 비밀,1
해서요,Verb,나의 소녀시대,1
해서울었어요,Verb,말할 수 없는 비밀,1
해서이지,Verb,그시절 우리가 좋아했던 소녀,1
해서인지,Verb,말할 수 없는 비밀,1
해서인지,Verb,청설,1
해서진,Verb,그시절 우리가 좋아했던 소녀,1
해석,Noun,5일의마중,1
해석,Noun,그시절 우리가 좋아했던 소녀,6
해석,Noun,나의 소녀시대,3
해석,Noun,말할 수 없는 비밀,36
해석,Noun,패왕별희,1
해설,Noun,말할 수 없는 비밀,2
해소,Noun,5일의마중,1
해아나,Verb,말할 수 없는 비밀,1
해안,Noun,나의 소녀시대,1
해안,Noun,말할 수 없는 비밀,7
해안,Noun,패왕별희,1
해안가,Noun,그시절 우리가 좋아했던 소녀,4
해안가,Noun,나의 소녀시대,1
해안가,Noun,말할 수 없는 비밀,21
해안가,Noun,시절인연,1
해야,Verb,5일의마중,2
해야,Verb,그시절 우리가 좋아했던 소녀,13
해야,Verb,나의 소녀시대,6
해야,Verb,말할 수 없는 비밀,36
해야,Verb,청설,3
해야,Verb,패왕별희,9
해야겟다,Verb,나의 소녀시대,1
해야겠나,Verb,그시절 우리가 좋아했던 소녀,1
해야겠네,Verb,청설,1
해야겠네요,Verb,말할 수 없는 비밀,1
해야겠다,Verb,나의 소녀시대,1
해야겠다,Verb,말할 수 없는 비밀,2
해야겠다고,Verb,그시절 우리가 좋아했던 소녀,1
해야겠다는,Verb,말할 수 없는 비밀,1
해야겠습니다,Verb,말할 수 없는 비밀,1
해야겠어요,Verb,5일의마중,1
해야겠어요,Verb,나의 소녀시대,1
해야겠음,Verb,청설,1
해야대,Verb,말할 수 없는 비밀,1
해야되,Verb,그시절 우리가 좋아했던 소녀,4
해야되,Verb,말할 수 없는 비밀,5
해야되,Verb,청설,1
해야만,Verb,말할 수 없는 비밀,1
해야만이,Verb,말할 수 없는 비밀,1
해야만하는,Verb,그시절 우리가 좋아했던 소녀,1
해야만하는,Verb,청설,1
해야지,Foreign,말할 수 없는 비밀,1
해야지,Verb,그시절 우리가 좋아했던 소녀,4
해야지,Verb,나의 소녀시대,1
해야지,Verb,말할 수 없는 비밀,6
해야지,Verb,청설,2
해야하고,Verb,말할 수 없는 비밀,1
해야하고,Verb,패왕별희,1
해야하기,Verb,말할 수 없는 비밀,1
해야하나,Verb,5일의마중,1
해야하나,Verb,그시절 우리가 좋아했던 소녀,2
해야하나,Verb,말할 수 없는 비밀,9
해야하나,Verb,패왕별희,1
해야하냐,Verb,말할 수 없는 비밀,1
해야하는,Verb,그시절 우리가 좋아했던 소녀,1
해야하는,Verb,나의 소녀시대,1
해야하는,Verb,말할 수 없는 비밀,3
해야하는데,Verb,말할 수 없는 비밀,1
해야하는지,Verb,말할 수 없는 비밀,1
해야하는지는,Verb,말할 수 없는 비밀,1
해어,Verb,말할 수 없는 비밀,1
해어,Verb,패왕별희,1
해어진게,Verb,그시절 우리가 좋아했던 소녀,1
해에,Verb,말할 수 없는 비밀,1
해여,Verb,나의 소녀시대,1
해여,Verb,말할 수 없는 비밀,4
해였나,Verb,나의 소녀시대,1
해오는,Verb,말할 수 없는 비밀,1
해오는듯,Verb,말할 수 없는 비밀,1
해온,Verb,말할 수 없는 비밀,1
해왔던,Verb,그시절 우리가 좋아했던 소녀,1
해왔으나,Verb,5일의마중,1
해왔지만,Verb,말할 수 없는 비밀,1
해외,Noun,그시절 우리가 좋아했던 소녀,1
해외,Noun,나의 소녀시대,4
해외,Noun,말할 수 없는 비밀,1
해외,Noun,청설,1
해요,Verb,5일의마중,1
해요,Verb,그시절 우리가 좋아했던 소녀,16
해요,Verb,나의 소녀시대,23
해요,Verb,말할 수 없는 비밀,57
해요,Verb,시절인연,1
해요,Verb,청설,5
해요,Verb,패왕별희,2
해욤,Noun,말할 수 없는 비밀,1
해용,Verb,그시절 우리가 좋아했던 소녀,1
해용,Verb,나의 소녀시대,1
해운대,Noun,그시절 우리가 좋아했던 소녀,1
해운대,Noun,청설,1
해있는,Verb,청설,1
해저,Noun,말할 수 없는 비밀,1
해적판,Noun,말할 수 없는 비밀,1
해제,Noun,그시절 우리가 좋아했던 소녀,1
해제,Noun,말할 수 없는 비밀,1
해져서,Verb,그시절 우리가 좋아했던 소녀,1
해져서,Verb,나의 소녀시대,2
해졌습니다,Verb,말할 수 없는 비밀,1
해조,Noun,말할 수 없는 비밀,1
해주,Noun,그시절 우리가 좋아했던 소녀,1
해주,Verb,5일의마중,1
해주,Verb,나의 소녀시대,1
해주,Verb,말할 수 없는 비밀,2
해주게,Verb,그시절 우리가 좋아했던 소녀,2
해주고,Verb,그시절 우리가 좋아했던 소녀,6
해주고,Verb,나의 소녀시대,2
해주고,Verb,말할 수 없는 비밀,20
해주고,Verb,청설,4
해주고싶다,Verb,그시절 우리가 좋아했던 소녀,1
해주고싶다,Verb,나의 소녀시대,1
해주고싶다,Verb,말할 수 없는 비밀,4
해주고싶다,Verb,청설,1
해주고싶다,Verb,패왕별희,1
해주고싶어,Verb,말할 수 없는 비밀,1
해주고싶어요,Verb,말할 수 없는 비밀,1
해주고싶은,Verb,나의 소녀시대,3
해주고싶은,Verb,말할 수 없는 비밀,13
해주고싶은,Verb,패왕별희,1
해주고싶음,Verb,그시절 우리가 좋아했던 소녀,1
해주기,Verb,그시절 우리가 좋아했던 소녀,1
해주길,Verb,그시절 우리가 좋아했던 소녀,1
해주길래,Verb,나의 소녀시대,1
해주길래,Verb,말할 수 없는 비밀,1
해주길래,Verb,청설,1
해주내요,Verb,청설,1
해주네,Verb,그시절 우리가 좋아했던 소녀,2
해주네,Verb,나의 소녀시대,1
해주네,Verb,말할 수 없는 비밀,2
해주네여,Verb,말할 수 없는 비밀,1
해주네요,Verb,그시절 우리가 좋아했던 소녀,1
해주네요,Verb,나의 소녀시대,3
해주네요,Verb,말할 수 없는 비밀,1
해주네용,Verb,나의 소녀시대,1
해주는,Verb,5일의마중,3
해주는,Verb,그시절 우리가 좋아했던 소녀,52
해주는,Verb,나의 소녀시대,27
해주는,Verb,말할 수 없는 비밀,29
해주는,Verb,청설,16
해주는,Verb,패왕별희,9
해주는거,Verb,그시절 우리가 좋아했던 소녀,2
해주는거,Verb,나의 소녀시대,1
해주는거,Verb,청설,1
해주는거나만,Verb,그시절 우리가 좋아했던 소녀,1
해주는것,Verb,말할 수 없는 비밀,1
해주는게,Verb,그시절 우리가 좋아했던 소녀,1
해주는데,Verb,그시절 우리가 좋아했던 소녀,1
해주는데,Verb,나의 소녀시대,1
해주는데,Verb,패왕별희,1
해주는듯,Verb,나의 소녀시대,1
해주는듯,Verb,말할 수 없는 비밀,1
해주니,Verb,말할 수 없는 비밀,1
해주듯,Verb,말할 수 없는 비밀,1
해주듯이,Verb,말할 수 없는 비밀,1
해주라,Verb,나의 소녀시대,1
해주라,Verb,말할 수 없는 비밀,1
해주려는데,Verb,말할 수 없는 비밀,1
해주면,Verb,그시절 우리가 좋아했던 소녀,7
해주면,Verb,나의 소녀시대,1
해주면,Verb,말할 수 없는 비밀,2
해주세여,Verb,나의 소녀시대,1
해주세여,Verb,말할 수 없는 비밀,1
해주세요,Verb,그시절 우리가 좋아했던 소녀,4
해주세요,Verb,나의 소녀시대,5
해주세요,Verb,말할 수 없는 비밀,5
해주세요,Verb,청설,1
해주세요,Verb,패왕별희,1
해주셔서,Verb,그시절 우리가 좋아했던 소녀,1
해주셔서,Verb,말할 수 없는 비밀,3
해주시,Noun,나의 소녀시대,1
해주시,Noun,말할 수 없는 비밀,1
해주신,Verb,말할 수 없는 비밀,1
해주신거,Verb,그시절 우리가 좋아했던 소녀,1
해주실,Verb,청설,1
해주어,Verb,그시절 우리가 좋아했던 소녀,1
해주어서,Verb,그시절 우리가 좋아했던 소녀,1
해주어서,Verb,청설,1
해주었,Verb,말할 수 없는 비밀,1
해주었고,Verb,그시절 우리가 좋아했던 소녀,1
해주었다,Verb,말할 수 없는 비밀,2
해주었다면,Verb,나의 소녀시대,1
해주었던,Verb,그시절 우리가 좋아했던 소녀,1
해주었던,Verb,나의 소녀시대,2
해주었습니다,Verb,패왕별희,1
해주었지,Verb,나의 소녀시대,1
해주지,Verb,그시절 우리가 좋아했던 소녀,1
해주지,Verb,나의 소녀시대,1
해주지,Verb,말할 수 없는 비밀,2
해준,Verb,5일의마중,6
해준,Verb,그시절 우리가 좋아했던 소녀,46
해준,Verb,나의 소녀시대,15
해준,Verb,말할 수 없는 비밀,82
해준,Verb,시절인연,3
해준,Verb,청설,9
해준,Verb,패왕별희,5
해준거,Verb,말할 수 없는 비밀,1
해준것,Verb,그시절 우리가 좋아했던 소녀,1
해준게,Verb,패왕별희,1
해준다,Verb,5일의마중,1
해준다,Verb,그시절 우리가 좋아했던 소녀,3
해준다,Verb,나의 소녀시대,3
해준다,Verb,말할 수 없는 비밀,10
해준다,Verb,패왕별희,1
해준다거나,Verb,그시절 우리가 좋아했던 소녀,1
해준다길래,Verb,말할 수 없는 비밀,1
해줄,Verb,그시절 우리가 좋아했던 소녀,2
해줄,Verb,나의 소녀시대,2
해줄,Verb,말할 수 없는 비밀,4
해줌,Verb,그시절 우리가 좋아했던 소녀,3
해줌,Verb,나의 소녀시대,1
해줌,Verb,말할 수 없는 비밀,2
해줌,Verb,청설,1
해줌,Verb,패왕별희,1
해줍니다,Verb,5일의마중,1
해줍니다,Verb,나의 소녀시대,1
해줍니다,Verb,패왕별희,1
해줘,Verb,그시절 우리가 좋아했던 소녀,1
해줘서,Verb,그시절 우리가 좋아했던 소녀,10
해줘서,Verb,나의 소녀시대,1
해줘서,Verb,말할 수 없는 비밀,6
해줘서,Verb,청설,1
해줘서,Verb,패왕별희,2
해줘야,Verb,말할 수 없는 비밀,1
해줘야지,Verb,5일의마중,1
해줘요,Verb,그시절 우리가 좋아했던 소녀,1
해줘요,Verb,말할 수 없는 비밀,1
해줬고,Verb,그시절 우리가 좋아했던 소녀,1
해줬는데,Verb,그시절 우리가 좋아했던 소녀,1
해줬다,Verb,말할 수 없는 비밀,3
해줬다면,Verb,말할 수 없는 비밀,1
해줬던,Verb,그시절 우리가 좋아했던 소녀,2
해줬어야,Verb,그시절 우리가 좋아했던 소녀,1
해줬어요,Verb,그시절 우리가 좋아했던 소녀,2
해줬었는데,Verb,그시절 우리가 좋아했던 소녀,1
해줬으면,Verb,나의 소녀시대,1
해줬으면,Verb,말할 수 없는 비밀,2
해줬으면,Verb,패왕별희,1
해지,Noun,5일의마중,11
해지,Noun,그시절 우리가 좋아했던 소녀,18
해지,Noun,나의 소녀시대,13
해지,Noun,말할 수 없는 비밀,8
해지,Noun,시절인연,1
해지,Noun,청설,10
해지,Noun,패왕별희,7
해지고,Verb,나의 소녀시대,2
해지고,Verb,패왕별희,1
해지길,Verb,말할 수 없는 비밀,1
해지네요,Verb,5일의마중,1
해지는,Verb,그시절 우리가 좋아했던 소녀,1
해지는,Verb,말할 수 없는 비밀,2
해지는,Verb,청설,1
해지는구나,Verb,말할 수 없는 비밀,1
해지는데,Verb,말할 수 없는 비밀,1
해지면서,Verb,나의 소녀시대,1
해진,Noun,나의 소녀시대,1
해진,Verb,말할 수 없는 비밀,1
해진다,Verb,그시절 우리가 좋아했던 소녀,1
해진다,Verb,나의 소녀시대,1
해진다,Verb,청설,1
해쳐,Verb,말할 수 없는 비밀,1
해칠수록,Verb,말할 수 없는 비밀,1
해침,Noun,그시절 우리가 좋아했던 소녀,1
해품달,Noun,나의 소녀시대,3
해피,Noun,그시절 우리가 좋아했던 소녀,7
해피,Noun,나의 소녀시대,2
해피,Noun,말할 수 없는 비밀,11
해피,Noun,청설,2
해피앤딩,Noun,그시절 우리가 좋아했던 소녀,1
해피앤딩,Noun,나의 소녀시대,1
해피앤딩,Noun,말할 수 없는 비밀,5
해피엔딩,Noun,5일의마중,1
해피엔딩,Noun,그시절 우리가 좋아했던 소녀,33
해피엔딩,Noun,나의 소녀시대,13
해피엔딩,Noun,말할 수 없는 비밀,52
해피엔딩,Noun,청설,6
해하진못,Verb,말할 수 없는 비밀,1
해항,Noun,말할 수 없는 비밀,1
핵,Noun,그시절 우리가 좋아했던 소녀,3
핵,Noun,나의 소녀시대,10
핵,Noun,말할 수 없는 비밀,3
핵,Noun,시절인연,1
핵강추,Noun,나의 소녀시대,1
핵꿀잼,Noun,그시절 우리가 좋아했던 소녀,2
핵꿀잼,Noun,나의 소녀시대,1
핵꿀잼,Noun,말할 수 없는 비밀,2
핵꿀잼,Noun,시절인연,1
핵뜔잼,Noun,그시절 우리가 좋아했던 소녀,1
핵심,Noun,5일의마중,1
핵심,Noun,그시절 우리가 좋아했던 소녀,1
핵심,Noun,말할 수 없는 비밀,2
핵잼,Noun,그시절 우리가 좋아했던 소녀,1
핵잼,Noun,나의 소녀시대,3
핵폭탄,Noun,말할 수 없는 비밀,1
핸는데,Noun,말할 수 없는 비밀,1
핸던,Noun,말할 수 없는 비밀,1
핸드폰,Noun,그시절 우리가 좋아했던 소녀,4
핸드폰,Noun,나의 소녀시대,1
핸드폰,Noun,말할 수 없는 비밀,1
핸드폰,Noun,청설,2
핸디캡,Noun,말할 수 없는 비밀,2
핸리,Noun,말할 수 없는 비밀,1
햇,Noun,5일의마중,1
햇,Noun,그시절 우리가 좋아했던 소녀,13
햇,Noun,나의 소녀시대,7
햇,Noun,말할 수 없는 비밀,68
햇,Noun,청설,6
햇,Noun,패왕별희,1
햇구,Noun,말할 수 없는 비밀,2
햇닼,Noun,말할 수 없는 비밀,1
햇던,Noun,그시절 우리가 좋아했던 소녀,6
햇던,Noun,나의 소녀시대,1
햇던,Noun,말할 수 없는 비밀,7
햇던,Noun,청설,1
햇살,Noun,말할 수 없는 비밀,2
햇살,Noun,청설,1
햇슴,Noun,말할 수 없는 비밀,2
햇습,Noun,말할 수 없는 비밀,1
햇습니,Noun,말할 수 없는 비밀,5
햇심,Noun,말할 수 없는 비밀,1
햇엇,Noun,나의 소녀시대,1
햇으,Noun,그시절 우리가 좋아했던 소녀,1
햇으,Noun,말할 수 없는 비밀,1
햇음,Noun,그시절 우리가 좋아했던 소녀,4
햇음,Noun,나의 소녀시대,1
햇음,Noun,말할 수 없는 비밀,10
햇음,Noun,청설,1
했,Verb,5일의마중,1
했,Verb,그시절 우리가 좋아했던 소녀,2
했,Verb,나의 소녀시대,1
했,Verb,말할 수 없는 비밀,12
했,Verb,청설,1
했거나,Verb,그시절 우리가 좋아했던 소녀,1
했거늘,Verb,말할 수 없는 비밀,1
했거든,Verb,나의 소녀시대,1
했건,Verb,나의 소녀시대,1
했겠구나,Verb,그시절 우리가 좋아했던 소녀,1
했고,Verb,그시절 우리가 좋아했던 소녀,12
했고,Verb,나의 소녀시대,3
했고,Verb,말할 수 없는 비밀,12
했고,Verb,청설,2
했고,Verb,패왕별희,4
했고요,Verb,나의 소녀시대,1
했구,Verb,말할 수 없는 비밀,1
했구나,Verb,그시절 우리가 좋아했던 소녀,1
했구나,Verb,말할 수 없는 비밀,2
했구만,Verb,나의 소녀시대,1
했구요,Verb,말할 수 없는 비밀,2
했군,Verb,말할 수 없는 비밀,2
했기,Verb,그시절 우리가 좋아했던 소녀,1
했기,Verb,말할 수 없는 비밀,1
했기,Verb,시절인연,1
했기,Verb,패왕별희,1
했기에,Verb,그시절 우리가 좋아했던 소녀,3
했기에,Verb,나의 소녀시대,1
했나,Verb,그시절 우리가 좋아했던 소녀,7
했나,Verb,나의 소녀시대,7
했나,Verb,말할 수 없는 비밀,11
했나,Verb,청설,1
했나는,Verb,말할 수 없는 비밀,1
했나보다,Verb,그시절 우리가 좋아했던 소녀,1
했나보다,Verb,나의 소녀시대,1
했나요,Verb,그시절 우리가 좋아했던 소녀,1
했나요,Verb,나의 소녀시대,2
했나요,Verb,청설,1
했내요,Verb,말할 수 없는 비밀,1
했냐,Verb,그시절 우리가 좋아했던 소녀,2
했냐,Verb,나의 소녀시대,2
했냐,Verb,말할 수 없는 비밀,1
했냐,Verb,패왕별희,1
했냐고,Verb,그시절 우리가 좋아했던 소녀,1
했네,Verb,그시절 우리가 좋아했던 소녀,4
했네,Verb,나의 소녀시대,3
했네,Verb,말할 수 없는 비밀,12
했네,Verb,청설,2
했네요,Verb,그시절 우리가 좋아했던 소녀,7
했네요,Verb,나의 소녀시대,7
했네요,Verb,말할 수 없는 비밀,13
했네요,Verb,청설,3
했네요,Verb,패왕별희,2
했눈딬,Noun,나의 소녀시대,1
했는,Verb,말할 수 없는 비밀,1
했는데,Verb,5일의마중,2
했는데,Verb,그시절 우리가 좋아했던 소녀,46
했는데,Verb,나의 소녀시대,36
했는데,Verb,말할 수 없는 비밀,172
했는데,Verb,시절인연,3
했는데,Verb,청설,15
했는데,Verb,패왕별희,4
했는데도,Verb,나의 소녀시대,1
했는데도,Verb,말할 수 없는 비밀,2
했는데도,Verb,패왕별희,1
했는데요,Verb,말할 수 없는 비밀,1
했는디,Verb,말할 수 없는 비밀,1
했는지,Verb,5일의마중,1
했는지,Verb,그시절 우리가 좋아했던 소녀,2
했는지,Verb,나의 소녀시대,4
했는지,Verb,말할 수 없는 비밀,7
했는지,Verb,패왕별희,4
했는지는,Verb,말할 수 없는 비밀,1
했는지도,Verb,패왕별희,1
했니,Verb,말할 수 없는 비밀,1
했다,Verb,5일의마중,5
했다,Verb,그시절 우리가 좋아했던 소녀,60
했다,Verb,나의 소녀시대,34
했다,Verb,말할 수 없는 비밀,135
했다,Verb,시절인연,2
했다,Verb,청설,13
했다,Verb,패왕별희,28
했다가,Verb,그시절 우리가 좋아했던 소녀,4
했다가,Verb,나의 소녀시대,4
했다가,Verb,말할 수 없는 비밀,5
했다가,Verb,청설,1
했다가,Verb,패왕별희,1
했다간,Verb,말할 수 없는 비밀,1
했다고,Verb,5일의마중,2
했다고,Verb,그시절 우리가 좋아했던 소녀,1
했다고,Verb,나의 소녀시대,1
했다고,Verb,말할 수 없는 비밀,6
했다고,Verb,청설,1
했다고,Verb,패왕별희,1
했다길래,Verb,나의 소녀시대,1
했다네요,Verb,말할 수 없는 비밀,1
했다는,Verb,그시절 우리가 좋아했던 소녀,2
했다는,Verb,나의 소녀시대,3
했다는,Verb,말할 수 없는 비밀,18
했다는,Verb,청설,1
했다는,Verb,패왕별희,2
했다는거,Verb,그시절 우리가 좋아했던 소녀,1
했다는건,Verb,나의 소녀시대,1
했다는건,Verb,말할 수 없는 비밀,2
했다는것,Verb,그시절 우리가 좋아했던 소녀,1
했다는것,Verb,나의 소녀시대,1
했다는것에,Verb,말할 수 없는 비밀,1
했다는게,Verb,그시절 우리가 좋아했던 소녀,1
했다는게,Verb,나의 소녀시대,1
했다는게,Verb,말할 수 없는 비밀,6
했다는게,Verb,패왕별희,2
했다는데,Verb,말할 수 없는 비밀,1
했다니,Verb,그시절 우리가 좋아했던 소녀,3
했다니,Verb,말할 수 없는 비밀,4
했다더군요,Verb,5일의마중,1
했다라는,Verb,말할 수 없는 비밀,1
했다만,Verb,말할 수 없는 비밀,2
했다며,Verb,그시절 우리가 좋아했던 소녀,1
했다면,Verb,5일의마중,1
했다면,Verb,그시절 우리가 좋아했던 소녀,9
했다면,Verb,나의 소녀시대,6
했다면,Verb,말할 수 없는 비밀,11
했다면,Verb,청설,1
했다면,Verb,패왕별희,1
했다하지만,Verb,그시절 우리가 좋아했던 소녀,1
했다하지만,Verb,말할 수 없는 비밀,1
했단,Verb,패왕별희,1
했더군요,Verb,말할 수 없는 비밀,1
했더니,Verb,그시절 우리가 좋아했던 소녀,1
했더니,Verb,나의 소녀시대,4
했더니,Verb,말할 수 없는 비밀,8
했더니,Verb,시절인연,1
했더니,Verb,청설,2
했더라구요,Verb,말할 수 없는 비밀,1
했더라도,Verb,말할 수 없는 비밀,1
했더라면,Verb,그시절 우리가 좋아했던 소녀,6
했던,Verb,5일의마중,4
했던,Verb,그시절 우리가 좋아했던 소녀,71
했던,Verb,나의 소녀시대,28
했던,Verb,말할 수 없는 비밀,81
했던,Verb,시절인연,4
했던,Verb,청설,7
했던,Verb,패왕별희,15
했던가,Verb,그시절 우리가 좋아했던 소녀,1
했던가,Verb,말할 수 없는 비밀,2
했던가,Verb,패왕별희,1
했던거,Verb,그시절 우리가 좋아했던 소녀,1
했던거,Verb,나의 소녀시대,1
했던거,Verb,말할 수 없는 비밀,3
했던거,Verb,패왕별희,1
했던건,Verb,말할 수 없는 비밀,1
했던것,Verb,그시절 우리가 좋아했던 소녀,2
했던것,Verb,말할 수 없는 비밀,1
했던것,Verb,패왕별희,1
했던것보다,Verb,말할 수 없는 비밀,2
했던것은,Verb,그시절 우리가 좋아했던 소녀,1
했던게,Verb,5일의마중,1
했던게,Verb,그시절 우리가 좋아했던 소녀,2
했던대로,Verb,나의 소녀시대,1
했던데,Verb,그시절 우리가 좋아했던 소녀,2
했던말,Verb,그시절 우리가 좋아했던 소녀,2
했슴,Noun,그시절 우리가 좋아했던 소녀,1
했슴,Noun,나의 소녀시대,1
했습니다,Verb,5일의마중,5
했습니다,Verb,그시절 우리가 좋아했던 소녀,4
했습니다,Verb,나의 소녀시대,5
했습니다,Verb,말할 수 없는 비밀,28
했습니다,Verb,시절인연,1
했습니다,Verb,청설,2
했습니다,Verb,패왕별희,5
했습니다만,Verb,말할 수 없는 비밀,1
했어,Verb,나의 소녀시대,3
했어,Verb,말할 수 없는 비밀,17
했어나,Verb,말할 수 없는 비밀,1
했어도,Verb,그시절 우리가 좋아했던 소녀,4
했어도,Verb,나의 소녀시대,5
했어도,Verb,말할 수 없는 비밀,3
했어서,Verb,나의 소녀시대,1
했어서,Verb,말할 수 없는 비밀,1
했어야,Verb,나의 소녀시대,2
했어야죠,Verb,나의 소녀시대,1
했어야지,Verb,그시절 우리가 좋아했던 소녀,2
했어여,Verb,말할 수 없는 비밀,5
했어요,Verb,그시절 우리가 좋아했던 소녀,8
했어요,Verb,나의 소녀시대,13
했어요,Verb,말할 수 없는 비밀,51
했어요,Verb,시절인연,2
했어요,Verb,청설,2
했었고,Verb,나의 소녀시대,1
했었고,Verb,말할 수 없는 비밀,1
했었나,Verb,말할 수 없는 비밀,1
했었나,Verb,패왕별희,1
했었네,Verb,말할 수 없는 비밀,1
했었네요,Verb,말할 수 없는 비밀,1
했었는데,Verb,그시절 우리가 좋아했던 소녀,1
했었는데,Verb,나의 소녀시대,3
했었는데,Verb,말할 수 없는 비밀,10
했었다,Verb,그시절 우리가 좋아했던 소녀,1
했었다,Verb,나의 소녀시대,2
했었다,Verb,말할 수 없는 비밀,2
했었다,Verb,패왕별희,1
했었다는,Verb,나의 소녀시대,1
했었다는,Verb,말할 수 없는 비밀,1
했었다면,Verb,그시절 우리가 좋아했던 소녀,1
했었더라면,Verb,그시절 우리가 좋아했던 소녀,2
했었던,Verb,그시절 우리가 좋아했던 소녀,3
했었던,Verb,말할 수 없는 비밀,1
했었어여,Verb,말할 수 없는 비밀,1
했었으면,Verb,나의 소녀시대,2
했었을,Verb,그시절 우리가 좋아했던 소녀,2
했었음,Verb,말할 수 없는 비밀,2
했었죠,Verb,청설,1
했었지만,Verb,그시절 우리가 좋아했던 소녀,1
했었지만,Verb,말할 수 없는 비밀,2
했오,Verb,나의 소녀시대,1
했으,Verb,나의 소녀시대,1
했으,Verb,말할 수 없는 비밀,1
했으나,Verb,5일의마중,1
했으나,Verb,그시절 우리가 좋아했던 소녀,2
했으나,Verb,나의 소녀시대,3
했으나,Verb,말할 수 없는 비밀,9
했으나,Verb,청설,1
했으나,Verb,패왕별희,1
했으니,Verb,말할 수 없는 비밀,1
했으니까,Verb,그시절 우리가 좋아했던 소녀,1
했으니까,Verb,나의 소녀시대,1
했으면,Verb,그시절 우리가 좋아했던 소녀,12
했으면,Verb,나의 소녀시대,30
했으면,Verb,말할 수 없는 비밀,16
했으면,Verb,시절인연,1
했으면,Verb,청설,3
했으면서,Verb,그시절 우리가 좋아했던 소녀,1
했을,Verb,5일의마중,1
했을,Verb,그시절 우리가 좋아했던 소녀,12
했을,Verb,나의 소녀시대,10
했을,Verb,말할 수 없는 비밀,16
했을,Verb,패왕별희,12
했을거,Verb,나의 소녀시대,1
했을거다,Verb,그시절 우리가 좋아했던 소녀,1
했을거라는,Verb,말할 수 없는 비밀,1
했을것,Verb,말할 수 없는 비밀,2
